richness	shannon	simpson	avg_soil_rh	temperature	elevation	transect
19	2.6344133822445768	0.9098216136173178	82.54	22.45	2420	Baquedano
30	3.0882568163438964	0.9407116920842411	82.54	22.45	2420	Baquedano
43	3.3177223606058996	0.9419295945085572	82.54	22.45	2420	Baquedano
38	3.417582393114881	0.9606451607084718	82.54	22.45	2420	Baquedano
39	3.483209380930854	0.9657598006095821	82.54	22.45	2420	Baquedano
36	3.1969611319730027	0.936052398054454	69.08	21.83	2462	Baquedano
26	2.88039126656033	0.9278483138639442	69.08	21.83	2462	Baquedano
34	3.1830883707841995	0.9434502610227404	69.08	21.83	2462	Baquedano
35	3.246137321683971	0.9515513701293894	73.21	18.2	2687	Baquedano
33	3.10566529599732	0.9421649170059926	73.21	18.2	2687	Baquedano
34	3.22048256803155	0.9497251448679119	73.21	18.2	2687	Baquedano
23	2.848582165477662	0.9288338719606033	44.74	19.08	2838	Baquedano
15	2.303903608971722	0.8675194806002451	44.74	19.08	2838	Baquedano
14	2.2340112070394094	0.8600521233586154	44.74	19.08	2838	Baquedano
45	3.3775293108669646	0.945054576472119	82.05	13.46	3473	Baquedano
39	3.3569310959973517	0.9580817014496401	82.05	13.46	3473	Baquedano
61	3.7674305801951835	0.9665199465714288	82.05	13.46	3473	Baquedano
28	3.102043853518974	0.948771029918944	100.0	9.41	4166	Baquedano
50	3.6204711132130365	0.9666273162754304	100.0	9.41	4166	Baquedano
51	3.6154549359607864	0.9652829017324143	100.0	9.41	4166	Baquedano
51	3.62450443671152	0.9671408913352273	100.0	9.41	4166	Baquedano
47	3.5869049511878504	0.9640762882290311	100.0	9.41	4166	Baquedano
29	2.536824610386796	0.8622530856244686	20.7	22.59	1005	Yungay
23	2.4622727790346515	0.8682381636539811	20.7	22.59	1005	Yungay
18	2.264106764789555	0.8494741405897313	20.9	23.61	1242	Yungay
26	2.6285416778489776	0.8898644644283542	20.9	23.61	1242	Yungay
21	1.9780303990501733	0.718238476217153	17.18	21.47	1609	Yungay
37	2.944993146557949	0.9219010984506177	28.79	17.85	2029	Yungay
23	2.802060307719063	0.9256625524169836	59.69	12.5	3153	Yungay
27	2.831195217978615	0.9152298801119368	59.69	12.5	3153	Yungay
4	1.2555422287406146	0.6843100189035917	93.57	15.28	3259	Yungay
29	2.99913507576229	0.9358924638037298	93.57	15.28	3259	Yungay
15	2.4637612353967944	0.897255099471166	93.57	15.28	3259	Yungay
38	3.3886781937283974	0.9577131021742883	93.57	15.28	3259	Yungay
37	3.1945984223699195	0.9410330578512397	93.57	15.28	3259	Yungay
33	2.8834965880735464	0.9022611569168661	87.32	15.89	3346	Yungay
7	1.6262009545413005	0.7603338475534986	87.32	15.89	3346	Yungay
24	2.547055893014455	0.8581384117192877	87.32	15.89	3346	Yungay
33	3.1475160520728918	0.9432978031705049	99.99	13.61	3428	Yungay
63	3.814611494720655	0.971252483581857	99.99	13.61	3428	Yungay
39	3.404777677266215	0.9569222697523371	99.99	13.61	3428	Yungay
29	2.6553990788978243	0.8447534550012938	100.0	11.41	3533	Yungay
32	3.1013594049849145	0.9417820181169891	100.0	11.41	3533	Yungay
33	3.124700049831538	0.9361876563721552	100.0	11.41	3533	Yungay
38	2.3361696004001127	0.7418444175320158	100.0	11.41	3533	Yungay
51	3.6093553686586164	0.9641274619496688	100.0	11.41	3533	Yungay
33	3.072210031379142	0.9224964664749058	99.44	9.51	3856	Yungay
44	2.929217225141863	0.8668813775510205	99.44	9.51	3856	Yungay
42	3.526745676357322	0.963368304119111	99.44	9.51	3856	Yungay
54	3.7270943494375106	0.9687819688010525	99.44	9.51	3856	Yungay
62	3.9337054980031607	0.9772583258110604	99.44	9.51	3856	Yungay
