# Diversidad alfa (indice de Shannon) por muestra
# Estadisticos de la regresion Shannon ~ AvgSoilRH:
# n = 51
# pendiente = 0.0100
# intercepto = 2.2278
# R2_lineal = 0.2125
# p_valor_lineal = 0.0006644
# rho_spearman = 0.4686
# p_valor_spearman = 0.000524
sample_id	transecto	AvgSoilRH	shannon
BAQ2420.1.1	Baquedano	82.54	2.6344
BAQ2420.1.2	Baquedano	82.54	3.0883
BAQ2420.2	Baquedano	82.54	3.4176
BAQ2420.3	Baquedano	82.54	3.4832
BAQ2420.1.3	Baquedano	82.54	3.3177
BAQ2462.1	Baquedano	69.08	3.197
BAQ2462.2	Baquedano	69.08	2.8804
BAQ2462.3	Baquedano	69.08	3.1831
BAQ2687.1	Baquedano	73.21	3.2461
BAQ2687.2	Baquedano	73.21	3.1057
BAQ2687.3	Baquedano	73.21	3.2205
BAQ2838.1	Baquedano	44.74	2.8486
BAQ2838.2	Baquedano	44.74	2.3039
BAQ2838.3	Baquedano	44.74	2.234
BAQ3473.1	Baquedano	82.05	3.3775
BAQ3473.2	Baquedano	82.05	3.3569
BAQ3473.3	Baquedano	82.05	3.7674
BAQ4166.1.1	Baquedano	100.0	3.102
BAQ4166.1.2	Baquedano	100.0	3.6205
BAQ4166.2	Baquedano	100.0	3.6245
BAQ4166.3	Baquedano	100.0	3.5869
BAQ4166.1.3	Baquedano	100.0	3.6155
BAQ4697.1	Baquedano		3.011
BAQ4697.2	Baquedano		3.0193
BAQ4697.3	Baquedano		3.3393
YUN1005.1.1	Yungay	20.7	2.5368
YUN1005.3	Yungay	20.7	2.4623
YUN1242.1	Yungay	20.9	2.2641
YUN1242.3	Yungay	20.9	2.6285
YUN1609.1	Yungay	17.18	1.978
YUN2029.2	Yungay	28.79	2.945
YUN3153.2	Yungay	59.69	2.8021
YUN3153.3	Yungay	59.69	2.8312
YUN3259.1.1	Yungay	93.57	1.2555
YUN3259.1.2	Yungay	93.57	2.9991
YUN3259.2	Yungay	93.57	3.3887
YUN3259.3	Yungay	93.57	3.1946
YUN3259.1.3	Yungay	93.57	2.4638
YUN3346.1	Yungay	87.32	2.8835
YUN3346.2	Yungay	87.32	1.6262
YUN3346.3	Yungay	87.32	2.5471
YUN3428.1	Yungay	99.99	3.1475
YUN3428.2	Yungay	99.99	3.8146
YUN3428.3	Yungay	99.99	3.4048
YUN3533.1.1	Yungay	100.0	2.6554
YUN3533.1.2	Yungay	100.0	3.1014
YUN3533.2	Yungay	100.0	2.3362
YUN3533.3	Yungay	100.0	3.6094
YUN3533.1.3	Yungay	100.0	3.1247
YUN3856.1.1	Yungay	99.44	3.0722
YUN3856.1.2	Yungay	99.44	2.9292
YUN3856.2	Yungay	99.44	3.7271
YUN3856.3	Yungay	99.44	3.9337
YUN3856.1.3	Yungay	99.44	3.5267
